,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.084421459237103,0.00087163343381124,3610,state,safegraph
1,al,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.11154194794742,0.00034957699442395,24036,state,safegraph
2,ar,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.1101003703005,0.00047917054668983,14980,state,safegraph
3,az,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.075851980995486,0.00025138643853064,29102,state,safegraph
4,ca,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.07805019426654,0.00012461116835267,161830,state,safegraph
5,co,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.089827051493276,0.00032152161615868,24640,state,safegraph
6,ct,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.07558490743974,0.00035209742699923,18049,state,safegraph
7,dc,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.055333480790848,0.00067983109336981,3125,state,safegraph
8,de,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.069304488668857,0.00065086442769374,3992,state,safegraph
9,fl,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.079058763514559,0.00015626817931626,79565,state,safegraph
10,ga,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.088923859173062,0.00027192450303868,38633,state,safegraph
11,hi,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.079162028170954,0.00064180052241329,5865,state,safegraph
12,ia,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10483595378302,0.00043422322070837,18388,state,safegraph
13,id,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.094567868155759,0.000626800325592,6718,state,safegraph
14,il,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.077683972319224,0.00019492873938204,67720,state,safegraph
15,in,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.092092107345371,0.00029239155322736,33654,state,safegraph
16,ks,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.099986991959907,0.00045456656898568,16408,state,safegraph
17,ky,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.087753238055286,0.00033779286147989,22943,state,safegraph
18,la,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10181780378699,0.00036998373729996,24114,state,safegraph
19,ma,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.073439006004966,0.00026295452375543,34679,state,safegraph
20,md,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.065478690901349,0.00025845316692538,27347,state,safegraph
21,me,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.082361361370988,0.00061082573662989,7533,state,safegraph
22,mi,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.080384458086316,0.00020854854450805,56732,state,safegraph
23,mn,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.08063847185487,0.00029401916425783,28732,state,safegraph
24,mo,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.095353298065593,0.00030409136739255,31509,state,safegraph
25,ms,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.1182544790933,0.00052034392971508,15094,state,safegraph
26,mt,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10467676318516,0.0008305301188058,5872,state,safegraph
27,nc,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.083555320999082,0.00022271065981855,42848,state,safegraph
28,nd,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.098598656345278,0.00094213314414048,4004,state,safegraph
29,ne,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10907054123246,0.00058395153497801,11417,state,safegraph
30,nh,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.079988255901824,0.00058749921438124,6447,state,safegraph
31,nj,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.07309177268468,0.00021566265193215,44041,state,safegraph
32,nm,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.085374517041558,0.00052618368506672,10094,state,safegraph
33,nv,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.076455851785781,0.00039712499703246,12746,state,safegraph
34,ny,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.072272748912471,0.00014854024583773,106222,state,safegraph
35,oh,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.084688966609032,0.0001946796322744,64499,state,safegraph
36,ok,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10588010444214,0.00038944806743742,20721,state,safegraph
37,or,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.077758138664738,0.00034222758131745,18381,state,safegraph
38,pa,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.072821749638053,0.00017274661810702,68050,state,safegraph
39,pr,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.080777164935314,0.00043942273532818,16916,state,safegraph
40,ri,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.075445646073784,0.00063516043576382,5678,state,safegraph
41,sc,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.09145477834891,0.0003341983833163,21342,state,safegraph
42,sd,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10544136445006,0.0008827521884502,4575,state,safegraph
43,tn,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.094910143392197,0.00029798772408718,28799,state,safegraph
44,tx,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.091451102956679,0.00015784742273015,110350,state,safegraph
45,ut,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10176107458922,0.00052288527074915,11810,state,safegraph
46,va,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.073978969057708,0.00024331099793537,37109,state,safegraph
47,vt,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.081231903430409,0.00092275379165586,3648,state,safegraph
48,wa,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.076245549824951,0.000264475127313,33375,state,safegraph
49,wi,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.081107815653114,0.00028785608063614,31322,state,safegraph
50,wv,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.082603730292818,0.00050134112672006,11122,state,safegraph
51,wy,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.11252483609764,0.0011794808209197,2870,state,safegraph
0,ak,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.081665225737604,0.00083676602379481,3616,state,safegraph
1,al,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.11131001943934,0.00034882678634624,24037,state,safegraph
2,ar,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.110489577549,0.00047851199282551,14979,state,safegraph
3,az,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.074982912996275,0.00024539503847268,29100,state,safegraph
4,ca,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.078351053038348,0.00012407623006729,161820,state,safegraph
5,co,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.089905802781459,0.00032358294240426,24636,state,safegraph
6,ct,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.076266058822067,0.0003533989671891,18049,state,safegraph
7,dc,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.05611512421572,0.00068739194604431,3128,state,safegraph
8,de,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.06927382885737,0.00065096728806291,3990,state,safegraph
9,fl,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.079544516063807,0.00015745508479891,79564,state,safegraph
10,ga,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.089366110034692,0.00027344167456437,38633,state,safegraph
11,hi,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.078509947928333,0.00063731903337398,5867,state,safegraph
12,ia,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10299327433847,0.00042866116643609,18388,state,safegraph
13,id,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.092984992552625,0.00062844002976693,6718,state,safegraph
14,il,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.076271815679866,0.00019306099320709,67719,state,safegraph
15,in,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.090298127277348,0.00028825867522909,33654,state,safegraph
16,ks,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.098062501978749,0.00044797463302169,16407,state,safegraph
