,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.05518356995347,0.00065362915297418,3610,state,safegraph
1,al,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.061170409575824,0.00026015343559978,24036,state,safegraph
2,ar,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.057111961888496,0.00032622555212154,14980,state,safegraph
3,az,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.045704145263997,0.00018763127834633,29102,state,safegraph
4,ca,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.051481325787651,9.7139484476301e-05,161830,state,safegraph
5,co,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.053446601433109,0.00023538000896634,24640,state,safegraph
6,ct,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.050679083105017,0.00027910130749656,18049,state,safegraph
7,dc,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.046097948454135,0.0005944101707073,3125,state,safegraph
8,de,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.045658758357828,0.0005255440076919,3992,state,safegraph
9,fl,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.047741362249852,0.00011954128399614,79565,state,safegraph
10,ga,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.050852638831951,0.00019513319162026,38633,state,safegraph
11,hi,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.03079494050416,0.00035890389473846,5865,state,safegraph
12,ia,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.068744732874055,0.00038768845692608,18388,state,safegraph
13,id,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.053998278553616,0.00047262660370145,6718,state,safegraph
14,il,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.047287827613865,0.00013552793255455,67720,state,safegraph
15,in,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.055150696251393,0.00022349262235043,33654,state,safegraph
16,ks,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.060088447574637,0.00035541559739875,16408,state,safegraph
17,ky,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.053518845777803,0.00026912011047371,22943,state,safegraph
18,la,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.061983288871804,0.00028917126647059,24114,state,safegraph
