,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,al,bars_visit_prop,2020-10-01,2020-11-30,60,132.24471021159,,,state,safegraph
1,ar,bars_visit_prop,2020-10-01,2020-11-30,60,43.669352566631,,,state,safegraph
2,az,bars_visit_prop,2020-10-01,2020-11-30,60,29.410323023381,,,state,safegraph
3,ca,bars_visit_prop,2020-10-01,2020-11-30,60,21.436698528563,,,state,safegraph
4,co,bars_visit_prop,2020-10-01,2020-11-30,60,11.334424460595,,,state,safegraph
5,ct,bars_visit_prop,2020-10-01,2020-11-30,60,23.046026206624,,,state,safegraph
6,fl,bars_visit_prop,2020-10-01,2020-11-30,60,41.103847517032,,,state,safegraph
7,ga,bars_visit_prop,2020-10-01,2020-11-30,60,44.392380543912,,,state,safegraph
8,hi,bars_visit_prop,2020-10-01,2020-11-30,60,20.898641588297,,,state,safegraph
9,ia,bars_visit_prop,2020-10-01,2020-11-30,60,37.185985015425,,,state,safegraph
10,id,bars_visit_prop,2020-10-01,2020-11-30,60,26.727523180986,,,state,safegraph
11,il,bars_visit_prop,2020-10-01,2020-11-30,60,26.904679224269,,,state,safegraph
12,in,bars_visit_prop,2020-10-01,2020-11-30,60,41.638735732549,,,state,safegraph
13,ks,bars_visit_prop,2020-10-01,2020-11-30,60,27.415733667262,,,state,safegraph
14,ky,bars_visit_prop,2020-10-01,2020-11-30,60,49.422013737644,,,state,safegraph
15,la,bars_visit_prop,2020-10-01,2020-11-30,60,13.768178297909,,,state,safegraph
16,ma,bars_visit_prop,2020-10-01,2020-11-30,60,26.559719529362,,,state,safegraph
17,md,bars_visit_prop,2020-10-01,2020-11-30,60,13.835412582127,,,state,safegraph
18,mi,bars_visit_prop,2020-10-01,2020-11-30,60,40.57493452681,,,state,safegraph
19,mn,bars_visit_prop,2020-10-01,2020-11-30,60,100.76603859448,,,state,safegraph
20,mo,bars_visit_prop,2020-10-01,2020-11-30,60,45.128981540791,,,state,safegraph
21,ms,bars_visit_prop,2020-10-01,2020-11-30,60,24.414658561,,,state,safegraph
22,mt,bars_visit_prop,2020-10-01,2020-11-30,60,28.203772254539,,,state,safegraph
23,nc,bars_visit_prop,2020-10-01,2020-11-30,60,21.22660498752,,,state,safegraph
24,ne,bars_visit_prop,2020-10-01,2020-11-30,60,160.62948132973,,,state,safegraph
25,nj,bars_visit_prop,2020-10-01,2020-11-30,60,27.766711334854,,,state,safegraph
26,nm,bars_visit_prop,2020-10-01,2020-11-30,60,2.528381077596,,,state,safegraph
27,nv,bars_visit_prop,2020-10-01,2020-11-30,60,23.646891109445,,,state,safegraph
28,ny,bars_visit_prop,2020-10-01,2020-11-30,60,33.166893079932,,,state,safegraph
29,oh,bars_visit_prop,2020-10-01,2020-11-30,60,30.058412018579,,,state,safegraph
30,ok,bars_visit_prop,2020-10-01,2020-11-30,60,22.731029922301,,,state,safegraph
31,or,bars_visit_prop,2020-10-01,2020-11-30,60,41.482300884956,,,state,safegraph
32,pa,bars_visit_prop,2020-10-01,2020-11-30,60,40.433623289767,,,state,safegraph
33,pr,bars_visit_prop,2020-10-01,2020-11-30,60,0.0,,,state,safegraph
34,ri,bars_visit_prop,2020-10-01,2020-11-30,60,17.277125086386,,,state,safegraph
35,sc,bars_visit_prop,2020-10-01,2020-11-30,60,40.922855869702,,,state,safegraph
36,tn,bars_visit_prop,2020-10-01,2020-11-30,60,42.288016633287,,,state,safegraph
37,tx,bars_visit_prop,2020-10-01,2020-11-30,60,42.739238962475,,,state,safegraph
38,ut,bars_visit_prop,2020-10-01,2020-11-30,60,50.445602824954,,,state,safegraph
39,va,bars_visit_prop,2020-10-01,2020-11-30,60,18.926031014466,,,state,safegraph
40,wi,bars_visit_prop,2020-10-01,2020-11-30,60,30.611676963322,,,state,safegraph
0,al,bars_visit_prop,2020-10-02,2020-11-30,59,216.57467034652,,,state,safegraph
1,ar,bars_visit_prop,2020-10-02,2020-11-30,59,142.27756803967,,,state,safegraph
2,az,bars_visit_prop,2020-10-02,2020-11-30,59,65.504810370258,,,state,safegraph
3,ca,bars_visit_prop,2020-10-02,2020-11-30,59,31.147339742357,,,state,safegraph
4,co,bars_visit_prop,2020-10-02,2020-11-30,59,34.910027338632,,,state,safegraph
5,ct,bars_visit_prop,2020-10-02,2020-11-30,59,64.199644432739,,,state,safegraph
6,fl,bars_visit_prop,2020-10-02,2020-11-30,59,65.798973470379,,,state,safegraph
7,ga,bars_visit_prop,2020-10-02,2020-11-30,59,58.822409434032,,,state,safegraph
8,hi,bars_visit_prop,2020-10-02,2020-11-30,59,26.123301985371,,,state,safegraph
9,ia,bars_visit_prop,2020-10-02,2020-11-30,59,84.012780960776,,,state,safegraph
10,id,bars_visit_prop,2020-10-02,2020-11-30,59,53.455046361973,,,state,safegraph
11,il,bars_visit_prop,2020-10-02,2020-11-30,59,48.647414178766,,,state,safegraph
12,in,bars_visit_prop,2020-10-02,2020-11-30,59,57.717059431256,,,state,safegraph
13,ks,bars_visit_prop,2020-10-02,2020-11-30,59,63.723056632014,,,state,safegraph
14,ky,bars_visit_prop,2020-10-02,2020-11-30,59,83.347294354163,,,state,safegraph
15,la,bars_visit_prop,2020-10-02,2020-11-30,59,29.257378883057,,,state,safegraph
16,ma,bars_visit_prop,2020-10-02,2020-11-30,59,45.151523199915,,,state,safegraph
17,md,bars_visit_prop,2020-10-02,2020-11-30,59,31.720214212681,,,state,safegraph
18,mi,bars_visit_prop,2020-10-02,2020-11-30,59,56.712692577246,,,state,safegraph
19,mn,bars_visit_prop,2020-10-02,2020-11-30,59,172.27742082281,,,state,safegraph
20,mo,bars_visit_prop,2020-10-02,2020-11-30,59,98.264717871077,,,state,safegraph
21,ms,bars_visit_prop,2020-10-02,2020-11-30,59,80.5683732513,,,state,safegraph
22,mt,bars_visit_prop,2020-10-02,2020-11-30,59,17.627357659087,,,state,safegraph
23,nc,bars_visit_prop,2020-10-02,2020-11-30,59,31.961899463967,,,state,safegraph
24,ne,bars_visit_prop,2020-10-02,2020-11-30,59,116.39817487662,,,state,safegraph
25,nj,bars_visit_prop,2020-10-02,2020-11-30,59,39.235570364468,,,state,safegraph
26,nm,bars_visit_prop,2020-10-02,2020-11-30,59,0.0,,,state,safegraph
27,nv,bars_visit_prop,2020-10-02,2020-11-30,59,48.645033139429,,,state,safegraph
28,ny,bars_visit_prop,2020-10-02,2020-11-30,59,53.157897128111,,,state,safegraph
29,oh,bars_visit_prop,2020-10-02,2020-11-30,59,52.340518440312,,,state,safegraph
30,ok,bars_visit_prop,2020-10-02,2020-11-30,59,48.906155287375,,,state,safegraph
31,or,bars_visit_prop,2020-10-02,2020-11-30,59,65.680309734513,,,state,safegraph
32,pa,bars_visit_prop,2020-10-02,2020-11-30,59,68.300039340823,,,state,safegraph
33,pr,bars_visit_prop,2020-10-02,2020-11-30,59,0.0,,,state,safegraph
