,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,restaurants_visit_prop,2020-10-01,2020-11-30,60,98.91278706436,,,state,safegraph
1,al,restaurants_visit_prop,2020-10-01,2020-11-30,60,859.62453195377,,,state,safegraph
2,ar,restaurants_visit_prop,2020-10-01,2020-11-30,60,517.41324622259,,,state,safegraph
3,az,restaurants_visit_prop,2020-10-01,2020-11-30,60,254.63727488273,,,state,safegraph
4,ca,restaurants_visit_prop,2020-10-01,2020-11-30,60,108.56165172946,,,state,safegraph
5,co,restaurants_visit_prop,2020-10-01,2020-11-30,60,230.26158330014,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-01,2020-11-30,60,97.341243910978,,,state,safegraph
7,dc,restaurants_visit_prop,2020-10-01,2020-11-30,60,51.69123950487,,,state,safegraph
8,de,restaurants_visit_prop,2020-10-01,2020-11-30,60,214.9644504368,,,state,safegraph
9,fl,restaurants_visit_prop,2020-10-01,2020-11-30,60,305.26338837534,,,state,safegraph
10,ga,restaurants_visit_prop,2020-10-01,2020-11-30,60,441.86048115693,,,state,safegraph
11,hi,restaurants_visit_prop,2020-10-01,2020-11-30,60,79.11540064744,,,state,safegraph
12,ia,restaurants_visit_prop,2020-10-01,2020-11-30,60,446.16499005551,,,state,safegraph
13,id,restaurants_visit_prop,2020-10-01,2020-11-30,60,232.45202491051,,,state,safegraph
14,il,restaurants_visit_prop,2020-10-01,2020-11-30,60,239.71151056275,,,state,safegraph
15,in,restaurants_visit_prop,2020-10-01,2020-11-30,60,372.14291536664,,,state,safegraph
16,ks,restaurants_visit_prop,2020-10-01,2020-11-30,60,373.06337255573,,,state,safegraph
17,ky,restaurants_visit_prop,2020-10-01,2020-11-30,60,470.27919539167,,,state,safegraph
18,la,restaurants_visit_prop,2020-10-01,2020-11-30,60,400.24026769156,,,state,safegraph
19,ma,restaurants_visit_prop,2020-10-01,2020-11-30,60,95.853191443573,,,state,safegraph
20,md,restaurants_visit_prop,2020-10-01,2020-11-30,60,158.84123651793,,,state,safegraph
21,me,restaurants_visit_prop,2020-10-01,2020-11-30,60,176.69150564601,,,state,safegraph
22,mi,restaurants_visit_prop,2020-10-01,2020-11-30,60,245.43317339844,,,state,safegraph
23,mn,restaurants_visit_prop,2020-10-01,2020-11-30,60,236.78865944251,,,state,safegraph
24,mo,restaurants_visit_prop,2020-10-01,2020-11-30,60,437.61797216175,,,state,safegraph
25,ms,restaurants_visit_prop,2020-10-01,2020-11-30,60,521.10137727311,,,state,safegraph
26,mt,restaurants_visit_prop,2020-10-01,2020-11-30,60,173.93754844884,,,state,safegraph
27,nc,restaurants_visit_prop,2020-10-01,2020-11-30,60,390.45329861401,,,state,safegraph
28,nd,restaurants_visit_prop,2020-10-01,2020-11-30,60,375.43206377267,,,state,safegraph
29,ne,restaurants_visit_prop,2020-10-01,2020-11-30,60,413.30693698854,,,state,safegraph
30,nh,restaurants_visit_prop,2020-10-01,2020-11-30,60,179.28669726534,,,state,safegraph
31,nj,restaurants_visit_prop,2020-10-01,2020-11-30,60,132.93509297935,,,state,safegraph
32,nm,restaurants_visit_prop,2020-10-01,2020-11-30,60,192.49675850301,,,state,safegraph
33,nv,restaurants_visit_prop,2020-10-01,2020-11-30,60,204.38846279813,,,state,safegraph
34,ny,restaurants_visit_prop,2020-10-01,2020-11-30,60,112.32032227652,,,state,safegraph
35,oh,restaurants_visit_prop,2020-10-01,2020-11-30,60,348.54853555273,,,state,safegraph
36,ok,restaurants_visit_prop,2020-10-01,2020-11-30,60,560.98214617421,,,state,safegraph
37,or,restaurants_visit_prop,2020-10-01,2020-11-30,60,122.40911893802,,,state,safegraph
38,pa,restaurants_visit_prop,2020-10-01,2020-11-30,60,180.32084801874,,,state,safegraph
39,pr,restaurants_visit_prop,2020-10-01,2020-11-30,60,26.368850070376,,,state,safegraph
40,ri,restaurants_visit_prop,2020-10-01,2020-11-30,60,145.56548679312,,,state,safegraph
41,sc,restaurants_visit_prop,2020-10-01,2020-11-30,60,456.57290764458,,,state,safegraph
42,sd,restaurants_visit_prop,2020-10-01,2020-11-30,60,362.56157445402,,,state,safegraph
43,tn,restaurants_visit_prop,2020-10-01,2020-11-30,60,538.35796572667,,,state,safegraph
44,tx,restaurants_visit_prop,2020-10-01,2020-11-30,60,412.12920374326,,,state,safegraph
45,ut,restaurants_visit_prop,2020-10-01,2020-11-30,60,185.63455376476,,,state,safegraph
46,va,restaurants_visit_prop,2020-10-01,2020-11-30,60,245.72459390011,,,state,safegraph
47,vt,restaurants_visit_prop,2020-10-01,2020-11-30,60,146.12275737207,,,state,safegraph
48,wa,restaurants_visit_prop,2020-10-01,2020-11-30,60,100.64744622514,,,state,safegraph
49,wi,restaurants_visit_prop,2020-10-01,2020-11-30,60,271.5827994647,,,state,safegraph
50,wv,restaurants_visit_prop,2020-10-01,2020-11-30,60,392.98654494745,,,state,safegraph
51,wy,restaurants_visit_prop,2020-10-01,2020-11-30,60,232.66440257895,,,state,safegraph
0,ak,restaurants_visit_prop,2020-10-02,2020-11-30,59,116.29495048153,,,state,safegraph
1,al,restaurants_visit_prop,2020-10-02,2020-11-30,59,1158.0784451671,,,state,safegraph
2,ar,restaurants_visit_prop,2020-10-02,2020-11-30,59,714.00709773854,,,state,safegraph
3,az,restaurants_visit_prop,2020-10-02,2020-11-30,59,342.37494528982,,,state,safegraph
4,ca,restaurants_visit_prop,2020-10-02,2020-11-30,59,139.21792526449,,,state,safegraph
5,co,restaurants_visit_prop,2020-10-02,2020-11-30,59,306.53375709774,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-02,2020-11-30,59,126.79294364285,,,state,safegraph
7,dc,restaurants_visit_prop,2020-10-02,2020-11-30,59,62.752739316612,,,state,safegraph
8,de,restaurants_visit_prop,2020-10-02,2020-11-30,59,297.00190397085,,,state,safegraph
9,fl,restaurants_visit_prop,2020-10-02,2020-11-30,59,418.31624006628,,,state,safegraph
10,ga,restaurants_visit_prop,2020-10-02,2020-11-30,59,613.5247854291,,,state,safegraph
11,hi,restaurants_visit_prop,2020-10-02,2020-11-30,59,98.090654013733,,,state,safegraph
12,ia,restaurants_visit_prop,2020-10-02,2020-11-30,59,586.29166953287,,,state,safegraph
13,id,restaurants_visit_prop,2020-10-02,2020-11-30,59,313.14925492237,,,state,safegraph
14,il,restaurants_visit_prop,2020-10-02,2020-11-30,59,323.18554236843,,,state,safegraph
15,in,restaurants_visit_prop,2020-10-02,2020-11-30,59,527.95039135057,,,state,safegraph
16,ks,restaurants_visit_prop,2020-10-02,2020-11-30,59,526.05944634275,,,state,safegraph
17,ky,restaurants_visit_prop,2020-10-02,2020-11-30,59,626.34921367996,,,state,safegraph
18,la,restaurants_visit_prop,2020-10-02,2020-11-30,59,539.49052749258,,,state,safegraph
19,ma,restaurants_visit_prop,2020-10-02,2020-11-30,59,139.40362998789,,,state,safegraph
20,md,restaurants_visit_prop,2020-10-02,2020-11-30,59,228.96834653308,,,state,safegraph
21,me,restaurants_visit_prop,2020-10-02,2020-11-30,59,248.08929772338,,,state,safegraph
22,mi,restaurants_visit_prop,2020-10-02,2020-11-30,59,320.08131686478,,,state,safegraph
23,mn,restaurants_visit_prop,2020-10-02,2020-11-30,59,300.96227163939,,,state,safegraph
