,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wearing_mask,2020-09-08,2020-12-09,92,21.287128699999997,4.0933739,100.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.125486600000002,1.7062192,366.0096,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-08,2020-12-09,92,15.198255200000006,2.3880568,226.0004,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.286025199999997,1.3800676,604.8998,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-08,2020-12-09,92,8.423355400000005,0.545422,2593.0126,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.373113099999998,1.406029,585.9987,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-08,2020-12-09,92,6.574923499999997,1.3726768,326.0,state,fb-survey
7,de,smoothed_wearing_mask,2020-09-08,2020-12-09,92,9.5041322,2.6771949,120.0,state,fb-survey
8,fl,smoothed_wearing_mask,2020-09-08,2020-12-09,92,11.213367399999996,0.8240904,1466.0,state,fb-survey
9,ga,smoothed_wearing_mask,2020-09-08,2020-12-09,92,16.164088199999995,1.5078936,595.9913,state,fb-survey
10,hi,smoothed_wearing_mask,2020-09-08,2020-12-09,92,6.115107899999998,2.0396722,138.0,state,fb-survey
11,ia,smoothed_wearing_mask,2020-09-08,2020-12-09,92,24.662559299999998,2.2532616,365.9534,state,fb-survey
12,id,smoothed_wearing_mask,2020-09-08,2020-12-09,92,34.3318117,3.2307161,216.0002,state,fb-survey
13,il,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.672583799999998,1.0452091,1013.0,state,fb-survey
14,in,smoothed_wearing_mask,2020-09-08,2020-12-09,92,15.228905800000007,1.5089216,567.0001,state,fb-survey
15,ks,smoothed_wearing_mask,2020-09-08,2020-12-09,92,22.579475000000002,2.5590324,266.9429,state,fb-survey
16,ky,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.692563000000007,1.9098403,323.9954,state,fb-survey
17,la,smoothed_wearing_mask,2020-09-08,2020-12-09,92,16.339078400000005,1.8348993,405.9997,state,fb-survey
18,ma,smoothed_wearing_mask,2020-09-08,2020-12-09,92,6.433386799999994,1.1669934,442.0015,state,fb-survey
19,md,smoothed_wearing_mask,2020-09-08,2020-12-09,92,7.053293699999998,1.4358183,317.9999,state,fb-survey
20,me,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.420382200000006,2.6406248,156.0,state,fb-survey
21,mi,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.456147700000002,1.1299928,854.0003,state,fb-survey
22,mn,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.441487199999997,1.6096706,449.038,state,fb-survey
23,mo,smoothed_wearing_mask,2020-09-08,2020-12-09,92,22.233780999999993,1.9019033,477.9995,state,fb-survey
24,ms,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.806654300000005,2.2065364,229.349,state,fb-survey
25,mt,smoothed_wearing_mask,2020-09-08,2020-12-09,92,23.4677126,3.3196001,162.9836,state,fb-survey
26,nc,smoothed_wearing_mask,2020-09-08,2020-12-09,92,14.420651000000007,1.2474981,793.0016,state,fb-survey
27,ne,smoothed_wearing_mask,2020-09-08,2020-12-09,92,19.5680045,2.8982799,187.3677,state,fb-survey
28,nh,smoothed_wearing_mask,2020-09-08,2020-12-09,92,12.037036999999998,2.5644651,161.0,state,fb-survey
29,nj,smoothed_wearing_mask,2020-09-08,2020-12-09,92,9.844058399999994,1.3165864,511.9998,state,fb-survey
30,nm,smoothed_wearing_mask,2020-09-08,2020-12-09,92,6.793516199999999,1.8601493,182.9975,state,fb-survey
31,nv,smoothed_wearing_mask,2020-09-08,2020-12-09,92,9.387896499999997,1.9316206,227.9874,state,fb-survey
32,ny,smoothed_wearing_mask,2020-09-08,2020-12-09,92,8.114244400000004,0.8225407,1101.9998,state,fb-survey
33,oh,smoothed_wearing_mask,2020-09-08,2020-12-09,92,15.380553800000001,1.1735594,945.0004,state,fb-survey
34,ok,smoothed_wearing_mask,2020-09-08,2020-12-09,92,23.485244499999993,2.2247575,363.0571,state,fb-survey
35,or,smoothed_wearing_mask,2020-09-08,2020-12-09,92,9.3219888,1.4323713,412.002,state,fb-survey
36,pa,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.584366500000002,1.058364,1048.0007,state,fb-survey
37,sc,smoothed_wearing_mask,2020-09-08,2020-12-09,92,16.7991782,1.668614,502.0002,state,fb-survey
38,tn,smoothed_wearing_mask,2020-09-08,2020-12-09,92,16.3126063,1.6249663,517.0049,state,fb-survey
39,tx,smoothed_wearing_mask,2020-09-08,2020-12-09,92,11.618649300000001,0.7937136,1630.0037,state,fb-survey
40,ut,smoothed_wearing_mask,2020-09-08,2020-12-09,92,24.024306800000005,2.4300289,309.1026,state,fb-survey
41,va,smoothed_wearing_mask,2020-09-08,2020-12-09,92,11.347614800000002,1.2645683,629.0866,state,fb-survey
42,wa,smoothed_wearing_mask,2020-09-08,2020-12-09,92,9.551310200000003,1.0530877,778.9977,state,fb-survey
43,wi,smoothed_wearing_mask,2020-09-08,2020-12-09,92,13.946855400000004,1.5105278,525.9998,state,fb-survey
44,wv,smoothed_wearing_mask,2020-09-08,2020-12-09,92,27.2395956,3.3457995,177.05,state,fb-survey
0,ak,smoothed_wearing_mask,2020-09-09,2020-12-09,91,20.562770599999993,2.6649492,230.0,state,fb-survey
1,al,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.273399600000005,1.1352865,1004.0251,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-09,2020-12-09,91,16.100304800000004,1.4796351,617.0001,state,fb-survey
