,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,45.8734525,1.8493434,726.0,state,fb-survey
1,al,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.0491255,0.8464366,3484.0909,state,fb-survey
2,ar,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.457291,1.0113519,2431.9221,state,fb-survey
3,az,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.4097636,0.6780274,5370.1011,state,fb-survey
4,ca,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,40.4745163,0.341753,20628.1283,state,fb-survey
5,co,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.464808,0.715703,4876.012,state,fb-survey
6,ct,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.7672817,0.8253255,3630.0,state,fb-survey
7,dc,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,37.1,2.1625293,499.0,state,fb-survey
8,de,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,43.7728098,1.5187637,1067.0146,state,fb-survey
9,fl,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,43.9625015,0.3853866,16586.9999,state,fb-survey
10,ga,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,43.6448846,0.630311,6190.9442,state,fb-survey
11,hi,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,36.3412229,1.5112078,1013.0,state,fb-survey
12,ia,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,49.0669222,0.8340631,3592.4518,state,fb-survey
13,id,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,51.1855773,1.1505774,1887.4007,state,fb-survey
14,il,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.5567584,0.4919729,10280.0008,state,fb-survey
15,in,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,51.7196635,0.6569938,5785.0011,state,fb-survey
16,ks,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,50.6983159,0.9582855,2721.8581,state,fb-survey
17,ky,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.0360355,0.8102649,3794.5229,state,fb-survey
18,la,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,51.203237,0.8554621,3414.1833,state,fb-survey
19,ma,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.7893493,0.7095271,4912.014,state,fb-survey
20,md,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,40.670565,0.7843724,3921.9841,state,fb-survey
21,me,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.0220674,1.2014363,1721.0,state,fb-survey
22,mi,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.808933,0.5097658,9615.0627,state,fb-survey
23,mn,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.4084015,0.732765,4643.4656,state,fb-survey
24,mo,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.4235855,0.7085283,4975.0072,state,fb-survey
25,ms,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.6228736,1.0839737,2122.8521,state,fb-survey
26,mt,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.7433235,1.332295,1402.4676,state,fb-survey
27,nc,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.9747077,0.5593766,7909.0105,state,fb-survey
28,nd,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.0049129,1.7535703,811.7114,state,fb-survey
29,ne,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.7784414,1.1932247,1754.8347,state,fb-survey
30,nh,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.8869218,1.1941608,1750.0,state,fb-survey
31,nj,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.1580721,0.6352793,6109.998,state,fb-survey
32,nm,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,41.2204522,1.1967671,1691.6857,state,fb-survey
33,nv,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,41.6435504,1.1102199,1971.5991,state,fb-survey
34,ny,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.9058591,0.4443004,12533.0007,state,fb-survey
35,oh,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,51.9604117,0.5009698,9946.0076,state,fb-survey
36,ok,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,48.8709525,0.8148527,3763.2262,state,fb-survey
37,or,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.7707573,0.7667347,4206.0394,state,fb-survey
38,pa,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,49.6456716,0.4705985,11288.0053,state,fb-survey
39,ri,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.7977669,1.5811975,997.986,state,fb-survey
40,sc,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.7411337,0.7143724,4878.0004,state,fb-survey
41,sd,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,49.0560184,1.5923484,985.6188,state,fb-survey
42,tn,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,47.4507604,0.6681429,5585.6129,state,fb-survey
43,tx,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.8040217,0.3772356,17377.9689,state,fb-survey
44,ut,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,52.3333962,0.9191749,2952.5469,state,fb-survey
45,va,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.5049221,0.5829537,7267.6576,state,fb-survey
46,vt,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,50.5354747,1.8305241,746.0008,state,fb-survey
47,wa,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,43.0688396,0.6075414,6642.9575,state,fb-survey
48,wi,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,44.5421451,0.6297889,6227.9371,state,fb-survey
49,wv,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,46.3923989,1.0866036,2106.3519,state,fb-survey
50,wy,smoothed_spent_time_1d,2020-10-01,2020-10-02,1,55.4520827,1.968283,637.6321,state,fb-survey
0,ak,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.7001395,1.8580609,716.0,state,fb-survey
1,al,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.2715979,0.8518471,3441.1013,state,fb-survey
2,ar,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.9716963,1.0060053,2461.1804,state,fb-survey
3,az,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.5472137,0.6755253,5387.1925,state,fb-survey
4,ca,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,40.1192802,0.3393364,20863.1253,state,fb-survey
5,co,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.326208,0.7075049,4988.7778,state,fb-survey
6,ct,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.1343042,0.8155479,3707.0,state,fb-survey
7,dc,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,36.2304688,2.1263421,511.0,state,fb-survey
8,de,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.6232689,1.5027689,1089.0146,state,fb-survey
9,fl,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.5539756,0.383247,16737.9996,state,fb-survey
10,ga,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.9060287,0.6280954,6242.9398,state,fb-survey
11,hi,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,36.0891089,1.5119239,1009.0,state,fb-survey
12,ia,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.520082,0.8315195,3612.5549,state,fb-survey
13,id,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,52.41684,1.1502161,1885.2337,state,fb-survey
14,il,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.2717623,0.4903656,10339.0006,state,fb-survey
15,in,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,51.3931045,0.6495369,5921.0003,state,fb-survey
16,ks,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,50.3532161,0.9606723,2708.7431,state,fb-survey
17,ky,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.7073492,0.8082278,3810.5263,state,fb-survey
18,la,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,51.6115338,0.8441126,3504.9985,state,fb-survey
19,ma,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.7654779,0.7056233,4966.015,state,fb-survey
20,md,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,39.9976242,0.7796751,3947.9838,state,fb-survey
21,me,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.1740654,1.2052297,1711.0,state,fb-survey
22,mi,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,47.9583924,0.5059974,9748.0724,state,fb-survey
23,mn,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.6391404,0.7313049,4653.464,state,fb-survey
24,mo,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.2334378,0.707952,4981.8418,state,fb-survey
25,ms,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,47.2065712,1.0835164,2122.8111,state,fb-survey
26,mt,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.8357553,1.327738,1412.4479,state,fb-survey
27,nc,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,45.1756568,0.5574896,7969.0103,state,fb-survey
28,nd,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.3480467,1.7380757,826.6626,state,fb-survey
29,ne,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.5978555,1.1725961,1816.7763,state,fb-survey
30,nh,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.6801386,1.1991183,1731.0,state,fb-survey
31,nj,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.295241,0.6337741,6142.9984,state,fb-survey
32,nm,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,41.739417,1.20404,1677.4106,state,fb-survey
33,nv,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,41.4141321,1.1089729,1972.875,state,fb-survey
34,ny,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.7033099,0.4437397,12554.0012,state,fb-survey
35,oh,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,51.2985339,0.4986111,10049.0073,state,fb-survey
36,ok,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.1729551,0.8158055,3751.3407,state,fb-survey
37,or,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.4001903,0.7605376,4267.9245,state,fb-survey
38,pa,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,49.6487202,0.468569,11386.0053,state,fb-survey
39,ri,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,47.573219,1.5888492,987.985,state,fb-survey
40,sc,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,46.333805,0.7097604,4936.0014,state,fb-survey
41,sd,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,48.2967886,1.5710263,1011.7398,state,fb-survey
42,tn,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,47.387175,0.6592477,5736.6077,state,fb-survey
43,tx,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,44.2383376,0.3737529,17658.9708,state,fb-survey
44,ut,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,52.6545066,0.9131569,2989.6707,state,fb-survey
45,va,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.9181855,0.5852003,7192.1271,state,fb-survey
46,vt,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,50.1267426,1.7811696,788.0008,state,fb-survey
47,wa,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.0649266,0.6080379,6631.9666,state,fb-survey
48,wi,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,43.9951092,0.6273798,6259.9282,state,fb-survey
49,wv,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,47.2684321,1.0648344,2198.2534,state,fb-survey
50,wy,smoothed_spent_time_1d,2020-10-02,2020-10-03,1,53.0958302,1.9666168,643.9207,state,fb-survey
0,ak,smoothed_spent_time_1d,2020-10-03,2020-10-04,1,45.1020408,1.8366575,734.0,state,fb-survey
1,al,smoothed_spent_time_1d,2020-10-03,2020-10-04,1,48.7379876,0.8515918,3445.0875,state,fb-survey
2,ar,smoothed_spent_time_1d,2020-10-03,2020-10-04,1,47.2490724,1.0114839,2436.1579,state,fb-survey
3,az,smoothed_spent_time_1d,2020-10-03,2020-10-04,1,43.2482509,0.6768579,5357.3848,state,fb-survey
